B,rollout,engine,dur_s
16,0,5,244.176929
16,0,4,293.259468
16,0,7,310.924079
16,0,2,364.300185
16,0,0,380.405585
16,0,1,382.683834
16,0,3,398.758196
16,0,6,420.034809
16,1,7,205.166581
16,1,5,256.482827
16,1,1,290.871389
16,1,3,302.607217
16,1,2,306.648919
16,1,4,322.895972
16,1,6,400.620310
16,1,0,439.623125
16,2,5,284.673850
16,2,6,286.428722
16,2,7,291.124018
16,2,4,329.116240
16,2,0,353.755394
16,2,2,355.934332
16,2,1,379.980543
16,2,3,400.820144
16,3,0,276.377990
16,3,5,294.541582
16,3,7,302.082140
16,3,6,327.247049
16,3,3,337.528384
16,3,4,347.674524
16,3,1,352.243379
16,3,2,416.570837
16,4,0,215.672877
16,4,4,287.738381
16,4,2,292.041999
16,4,5,310.978182
16,4,3,324.415106
16,4,6,339.945195
16,4,1,356.615738
16,4,7,418.569041
16,5,6,221.308266
16,5,7,247.614293
16,5,4,290.963072
16,5,3,298.302459
16,5,2,299.710039
16,5,5,318.365208
16,5,0,357.448678
16,5,1,402.322511
16,6,6,243.262660
16,6,0,270.509013
16,6,7,282.003984
16,6,2,330.870528
16,6,3,342.918243
16,6,5,354.784149
16,6,4,357.784361
16,6,1,498.123787
16,7,2,291.594385
16,7,6,316.931177
16,7,3,320.415433
16,7,7,322.505067
16,7,0,341.192419
16,7,5,354.874418
16,7,1,372.266797
16,7,4,418.055227
16,8,0,262.483084
16,8,7,264.004360
16,8,4,289.871387
16,8,5,338.797463
16,8,1,355.391509
16,8,2,365.116870
16,8,6,368.846472
16,8,3,390.290045
16,9,1,277.376115
16,9,3,303.127771
16,9,0,307.648516
16,9,7,309.178560
16,9,2,339.632219
16,9,6,343.026346
16,9,4,348.863977
16,9,5,417.754317
16,10,6,344.293270
16,10,0,346.026358
16,10,4,392.211308
16,10,3,394.300130
16,10,1,396.533656
16,10,2,402.180309
16,10,7,414.120002
16,10,5,434.005939
16,11,5,309.608602
16,11,2,311.500665
16,11,3,315.651308
16,11,6,356.031619
16,11,7,359.428496
16,11,1,376.547165
16,11,4,388.992697
16,11,0,399.565793
16,12,2,310.280942
16,12,5,319.989802
16,12,3,328.415374
16,12,7,331.391574
16,12,6,341.312277
16,12,1,349.454699
16,12,0,351.305862
16,12,4,479.474852
16,13,5,277.920888
16,13,1,290.207069
16,13,7,296.996871
16,13,3,308.322343
16,13,6,315.325669
16,13,0,349.152859
16,13,2,393.339545
16,13,4,407.291548
16,14,1,287.589959
16,14,7,299.197348
16,14,3,331.911126
16,14,2,332.480392
16,14,4,398.748950
16,14,0,422.786760
16,14,5,458.792655
16,14,6,498.173635
16,15,1,219.248053
16,15,4,245.798103
16,15,7,264.264113
16,15,6,276.795433
16,15,0,315.016152
16,15,5,332.809783
16,15,3,358.842872
16,15,2,391.186984
16,16,4,235.096463
16,16,6,273.074725
16,16,7,274.066568
16,16,5,322.448303
16,16,2,404.261374
16,16,0,405.379395
16,16,3,421.703000
16,16,1,470.824010
16,17,1,311.227707
16,17,6,322.808862
16,17,7,332.810364
16,17,3,339.280904
16,17,4,348.193258
16,17,5,455.384187
16,17,2,458.925716
16,17,0,590.140263
16,18,1,210.673393
16,18,4,278.846858
16,18,0,296.022535
16,18,3,361.607263
16,18,2,362.294499
16,18,7,373.338462
16,18,5,394.698471
16,18,6,431.510363
16,19,7,266.332511
16,19,6,319.413300
16,19,4,327.716734
16,19,5,328.385223
16,19,1,351.583010
16,19,0,359.460385
16,19,2,367.878386
16,19,3,430.237306
32,0,5,244.003188
32,0,4,281.834643
32,0,7,316.283283
32,0,0,353.763941
32,0,1,356.451504
32,0,6,380.166161
32,0,2,407.836640
32,0,3,425.080245
32,1,7,205.367816
32,1,5,256.718750
32,1,4,271.354723
32,1,2,303.234619
32,1,3,303.694621
32,1,1,333.209972
32,1,6,392.664054
32,1,0,441.073439
32,2,6,272.472992
32,2,7,273.527902
32,2,4,323.952735
32,2,5,326.280921
32,2,2,349.334819
32,2,0,354.507586
32,2,1,373.588433
32,2,3,406.307259
32,3,0,275.875826
32,3,5,294.133167
32,3,7,302.540943
32,3,6,325.528035
32,3,4,337.970749
32,3,1,345.550495
32,3,3,354.082026
32,3,2,416.962786
32,4,0,216.027484
32,4,4,288.716520
32,4,5,290.733419
32,4,2,319.847694
32,4,3,321.251006
32,4,1,338.492578
32,4,6,376.186787
32,4,7,416.226029
32,5,6,221.419256
32,5,7,230.563291
32,5,3,298.775815
32,5,2,300.117393
32,5,4,310.806414
32,5,5,312.617657
32,5,0,360.651477
32,5,1,402.339135
32,6,6,243.235051
32,6,7,268.406573
32,6,0,285.976720
32,6,2,329.861735
32,6,3,331.477549
32,6,4,349.144250
32,6,5,352.577769
32,6,1,499.387594
32,7,6,273.688856
32,7,7,276.412517
32,7,2,334.576372
32,7,3,337.529901
32,7,5,355.641722
32,7,4,357.836238
32,7,0,401.170827
32,7,1,412.085946
32,8,0,262.484999
32,8,7,263.446866
32,8,4,289.971616
32,8,5,331.954945
32,8,1,347.333647
32,8,6,350.978986
32,8,2,372.857503
32,8,3,400.076864
32,9,1,275.363941
32,9,0,286.210150
32,9,6,303.680298
32,9,7,304.335328
32,9,4,324.079299
32,9,2,347.064691
32,9,3,347.964859
32,9,5,421.374052
32,10,6,342.832391
32,10,0,345.151848
32,10,7,376.689734
32,10,1,388.466854
32,10,3,392.749305
32,10,2,399.253335
32,10,5,429.339008
32,10,4,441.966624
32,11,2,303.179047
32,11,3,304.800312
32,11,6,324.882462
32,11,7,345.552367
32,11,5,359.783972
32,11,4,371.086210
32,11,1,396.984284
32,11,0,401.574017
32,12,2,310.160780
32,12,5,318.993624
32,12,3,325.498216
32,12,6,332.244482
32,12,7,334.553269
32,12,0,344.966856
32,12,1,347.818363
32,12,4,484.513765
32,13,5,276.737663
32,13,1,289.126303
32,13,7,296.045808
32,13,6,297.922575
32,13,2,320.640243
32,13,3,323.081964
32,13,0,358.577499
32,13,4,432.631331
32,14,1,286.639127
32,14,7,298.251062
32,14,2,316.878785
32,14,3,318.179819
32,14,0,396.490777
32,14,6,447.677500
32,14,5,452.105572
32,14,4,501.651501
32,15,1,218.801449
32,15,0,246.773858
32,15,6,268.698463
32,15,7,269.624901
32,15,4,315.427781
32,15,5,319.763281
32,15,3,365.576247
32,15,2,390.922483
32,16,4,235.585254
32,16,7,269.943858
32,16,6,272.634170
32,16,5,299.322960
32,16,2,404.344951
32,16,3,406.865026
32,16,0,453.311838
32,16,1,464.136059
32,17,1,311.411469
32,17,6,321.382769
32,17,7,323.113624
32,17,3,340.731726
32,17,4,352.283726
32,17,2,435.959561
32,17,5,467.975265
32,17,0,594.871351
32,18,1,210.628510
32,18,4,279.174382
32,18,0,285.602862
32,18,2,334.768032
32,18,3,337.541214
32,18,5,390.893940
32,18,7,419.743774
32,18,6,427.477690
32,19,7,267.549288
32,19,6,317.026996
32,19,4,325.780040
32,19,5,326.375285
32,19,0,346.666735
32,19,1,347.342267
32,19,2,380.107807
32,19,3,432.141487
64,0,4,240.090616
64,0,5,240.619230
64,0,7,332.913781
64,0,6,339.747708
64,0,2,356.654258
64,0,3,359.420694
64,0,1,407.340533
64,0,0,454.545427
64,1,7,206.359308
64,1,4,249.983054
64,1,5,250.988794
64,1,2,283.844425
64,1,3,285.775448
64,1,6,336.404045
64,1,1,404.500963
64,1,0,455.689600
64,2,7,258.273144
64,2,6,260.515570
64,2,4,292.422288
64,2,5,293.327734
64,2,2,345.947974
64,2,0,353.923861
64,2,1,359.073032
64,2,3,459.832037
64,3,0,276.671067
64,3,1,281.781176
64,3,4,297.117602
64,3,5,299.683977
64,3,6,335.216299
64,3,7,335.834365
64,3,3,377.387887
64,3,2,421.657554
64,4,0,215.539157
64,4,1,222.496288
64,4,2,298.578510
64,4,3,302.560631
64,4,4,336.294087
64,4,5,339.828262
64,4,6,389.320301
64,4,7,415.219582
64,5,6,190.472008
64,5,7,194.674736
64,5,4,284.203305
64,5,5,288.087240
