rollout,duration_s,inference_s,train_s,weight_update_s
0,829.483000,443.793000,252.944000,2.764000
1,578.898000,369.060000,199.652000,3.300000
2,660.276000,430.813000,219.824000,2.657000
3,647.756000,420.641000,217.799000,2.373000
4,562.766000,342.940000,210.168000,1.791000
5,627.586000,419.005000,199.523000,1.850000
6,640.117000,414.605000,210.683000,3.687000
7,701.870000,438.087000,251.884000,3.822000
8,685.308000,462.633000,212.253000,2.963000
9,599.723000,380.238000,209.029000,2.279000
10,741.039000,480.755000,248.460000,2.461000
11,793.822000,549.471000,227.974000,4.947000
12,688.959000,446.795000,226.916000,3.769000
13,620.722000,392.093000,215.156000,2.947000
14,780.965000,529.145000,235.022000,2.776000
15,677.902000,469.654000,193.533000,4.267000
16,722.591000,479.816000,227.112000,4.733000
17,700.008000,450.487000,232.841000,3.899000
18,656.909000,426.539000,215.570000,3.539000
19,631.325000,396.343000,216.553000,4.220000
