B,rollout,train_group,chunk_id,total_tokens,num_microbatches,fwd_bwd_s,chunk_total_s,end_ts
16,0,0,1,57070,16,13.6250,26.2570,1789814418.6562
16,0,0,2,59114,14,5.1150,6.4590,1789814426.3804
16,0,0,3,75042,16,7.2750,9.1930,1789814436.8219
16,0,0,4,80424,16,7.0710,8.7390,1789814446.8757
16,0,0,5,85769,16,6.8430,8.5270,1789814456.7893
16,0,0,6,100983,16,7.8670,9.9020,1789814468.3138
16,0,0,7,95989,16,7.6150,9.4310,1789814479.1610
16,0,0,8,163092,16,12.4010,15.6190,1789814496.4084
16,0,0,9,160538,16,12.7900,15.7140,1789814513.3773
16,0,0,10,146069,16,11.9060,14.8100,1789814529.7693
16,0,0,11,170442,16,14.2640,17.5120,1789814548.7855
16,0,0,12,445657,32,35.8940,44.4330,1789814594.5608
16,0,0,13,240939,16,21.0220,25.5680,1789814622.2740
16,1,0,1,130383,16,9.8030,12.5430,1789815136.8505
16,1,0,2,83597,13,8.0450,9.6710,1789815147.9249
16,1,0,3,146932,16,12.9190,15.6550,1789815164.7917
16,1,0,4,153096,16,12.1980,15.3810,1789815181.8215
16,1,0,5,337621,32,27.2430,33.6240,1789815217.2726
16,1,0,6,220566,16,18.0300,22.1720,1789815242.2600
16,1,0,7,113414,8,10.1070,12.2810,1789815256.9091
16,2,0,1,90360,16,7.4780,9.9830,1789815691.8362
16,2,0,2,84153,15,6.9020,8.6020,1789815702.5641
16,2,0,3,95889,16,7.7710,9.9350,1789815714.9891
16,2,0,4,121481,16,10.0550,12.4070,1789815729.3799
16,2,0,5,111528,16,9.5220,12.3090,1789815743.7645
16,2,0,6,162041,16,13.9410,16.9310,1789815762.0840
16,2,0,7,166263,16,13.3970,16.4620,1789815781.0813
16,2,0,8,139400,16,10.6300,13.1800,1789815796.2746
16,2,0,9,384257,32,32.0720,39.3350,1789815837.5278
16,2,0,10,165526,16,13.9460,17.1790,1789815857.2208
16,2,0,11,105563,8,8.6410,10.5080,1789815869.7709
16,2,0,12,128122,8,10.1290,12.5160,1789815884.3846
16,3,0,1,42346,12,4.3290,5.5440,1789816274.7439
16,3,0,2,48710,15,5.9840,7.6330,1789816283.6690
16,3,0,3,51776,15,4.9260,6.4370,1789816292.6138
16,3,0,4,65224,16,6.6810,8.2700,1789816303.0418
16,3,0,5,90583,16,8.4790,11.0670,1789816316.0161
16,3,0,6,102934,16,7.6730,9.5960,1789816326.9902
16,3,0,7,115007,16,9.7190,11.9610,1789816340.8854
16,3,0,8,89523,14,6.6870,8.4060,1789816350.6487
16,3,0,9,117937,16,8.6450,10.9210,1789816363.9697
16,3,0,10,153659,16,13.4750,16.2810,1789816381.6267
16,3,0,11,151716,16,12.8870,15.7060,1789816398.6676
16,3,0,12,174751,16,14.4370,17.9150,1789816418.5303
16,3,0,13,381115,32,31.5470,39.1860,1789816459.2705
16,3,0,14,244940,16,21.7390,26.6970,1789816487.7165
16,3,0,15,104191,8,9.2860,11.2400,1789816500.4333
16,4,0,1,44879,12,4.2860,5.5160,1789816900.4792
16,4,0,2,54104,14,5.3010,6.6200,1789816908.7174
16,4,0,3,45143,14,5.6500,7.0270,1789816917.2368
16,4,0,4,74468,16,6.1860,7.7300,1789816927.1076
16,4,0,5,63625,15,6.0190,7.6300,1789816936.0206
16,4,0,6,117623,16,10.0070,12.2870,1789816950.0189
16,4,0,7,110379,16,9.1420,11.2060,1789816962.7173
16,4,0,8,172107,16,13.8860,17.0220,1789816982.1482
16,4,0,9,137545,16,12.2410,14.8070,1789816998.3561
16,4,0,10,149349,16,12.1100,14.9410,1789817015.4707
16,4,0,11,158229,16,12.2970,15.4070,1789817033.4229
16,4,0,12,392802,32,33.0320,40.7160,1789817076.4953
16,4,0,13,133958,16,10.8410,13.5480,1789817091.6841
16,4,0,14,125498,8,10.0790,12.5430,1789817105.6980
16,5,0,1,163614,16,14.3360,17.8690,1789817555.3835
16,5,0,2,112495,16,8.9410,11.0260,1789817568.5661
16,5,0,3,149573,16,12.7410,15.5620,1789817585.5333
16,5,0,4,343289,32,28.6180,35.5840,1789817622.7124
16,5,0,5,186790,16,14.9040,18.4180,1789817643.0586
16,5,0,6,54419,8,4.4320,5.4890,1789817650.3920
16,5,0,7,85411,8,6.9500,8.5210,1789817660.2867
16,6,0,1,371974,32,29.6060,36.8100,1789818230.1551
16,6,0,2,479106,32,41.1640,50.3980,1789818282.0917
16,7,0,1,70569,16,6.2900,7.9720,1789818697.7447
