B,rollout,inference_time_s,training_time_s,overlap_time_s,gradient_sync_time_s,weight_update_time_s,total_rollout_time_s,training_span_gpu_s,busy_gpu_s,interior_idle_gpu_s,trailing_idle_gpu_s
16,0,421.697215,347.741848,127.423825,5.680200,23.000037,670.696048,2136.305000,2071.582000,2.265000,62.458000
16,1,442.795731,299.521936,138.336649,0.252040,14.157277,618.390886,1874.076000,1802.352000,2.573000,69.151000
16,2,403.786876,316.426748,115.300382,0.253501,9.511144,614.678371,2017.390000,1958.582000,2.710000,56.098000
16,3,421.376337,284.022050,92.908857,0.257391,9.072819,621.820249,1987.408000,1907.975000,2.410000,77.023000
16,4,421.069301,278.442910,109.024178,0.253098,7.055321,597.796896,1879.685000,1828.076000,2.615000,48.994000
16,5,404.438126,300.435616,156.212934,0.251263,10.884195,559.796721,1837.528000,1753.646000,2.043000,81.840000
16,6,500.016963,331.802563,216.728102,0.253079,7.078087,622.423134,1945.297000,1839.454000,1.794000,104.049000
16,7,419.625089,278.511831,98.522918,0.256672,12.403633,612.274815,1913.685000,1833.349000,1.491000,78.844000
16,8,391.681538,252.805172,52.680471,0.250801,9.691784,601.749351,1813.086000,1743.410000,1.043000,68.634000
16,9,417.762033,275.512901,109.793200,0.252463,11.346482,595.081195,1842.841000,1757.032000,0.945000,84.864000
16,10,436.589929,288.858861,39.624023,0.251840,7.187111,693.264255,2173.036000,2097.337000,1.757000,73.941000
16,11,402.200784,302.425516,86.389152,0.250916,13.024430,631.513009,2001.623000,1935.895000,2.282000,63.445000
16,12,481.588079,296.044978,152.655237,0.249331,18.515880,643.743549,1983.155000,1881.751000,2.028000,99.376000
16,13,410.506111,286.248998,94.683814,0.252035,8.392330,610.716179,1868.389000,1783.571000,2.038000,82.779000
16,14,501.123664,351.788502,167.124845,0.249439,8.809998,694.847239,2041.748000,1982.822000,1.924000,57.003000
16,15,393.264401,274.270552,116.096096,0.249051,8.263525,559.952000,1763.268000,1675.133000,1.534000,86.602000
16,16,472.300120,338.217249,197.292699,0.301821,6.555915,620.082975,1910.802000,1861.315000,2.298000,47.190000
16,17,592.932286,387.882107,259.955684,0.254841,15.527798,736.641881,2074.380000,1970.558000,1.976000,101.847000
16,18,434.547127,315.575584,136.115454,0.288183,6.848137,621.144052,1920.304000,1837.533000,1.973000,80.798000
16,19,432.159572,277.943772,111.128324,0.274532,6.851349,606.101435,1898.057000,1835.224000,1.808000,61.026000
32,0,427.156743,339.643490,144.055761,4.071912,18.922988,645.740051,2083.712000,2017.454000,1.581000,64.677000
32,1,443.387756,310.910630,171.808882,0.261695,8.625150,591.377016,1822.100000,1750.046000,1.878000,70.177000
32,2,409.709975,321.563677,134.010014,0.249905,7.768571,605.282707,1998.855000,1913.375000,2.430000,83.051000
32,3,418.809299,272.938677,92.402253,0.252421,8.554869,608.153599,1924.579000,1857.035000,2.698000,64.846000
32,4,419.001366,283.981099,127.459899,0.250649,11.632581,587.406304,1854.242000,1767.400000,1.983000,84.859000
32,5,404.158154,304.425107,172.664809,0.253840,6.500368,542.673450,1775.563000,1751.301000,1.594000,22.669000
32,6,502.198124,336.627370,233.621821,0.253912,6.864772,612.322913,1924.937000,1837.123000,2.175000,85.638000
32,7,413.632750,315.096102,136.785970,0.251200,12.277983,604.472641,1952.485000,1845.543000,1.595000,105.346000
32,8,402.050754,257.457524,69.922943,0.251023,9.932759,599.769707,1834.404000,1785.404000,1.584000,47.416000
32,9,423.949030,290.481515,136.199314,0.250408,7.847134,586.329326,1884.410000,1819.239000,2.236000,62.935000
32,10,444.592612,298.809952,67.595807,0.251073,7.797563,683.855933,2176.694000,2097.611000,1.904000,77.180000
32,11,403.637710,298.404245,98.395133,0.259557,8.667737,612.574662,1966.115000,1914.819000,2.209000,49.086000
32,12,486.535049,294.225671,160.846872,0.249476,17.968840,638.132727,1965.897000,1894.440000,2.045000,69.412000
32,13,435.077395,288.131346,136.988802,0.251923,7.142231,593.614665,1850.111000,1787.920000,1.864000,60.327000
32,14,503.371586,357.791315,185.024745,0.252119,8.318816,684.709737,2063.690000,1992.142000,1.653000,69.895000
32,15,392.810719,281.103091,145.871872,0.249179,7.324859,535.616585,1760.080000,1685.261000,1.840000,72.979000
32,16,466.362924,336.943264,195.186866,0.252089,7.593884,615.965893,1965.740000,1859.424000,1.459000,104.857000
32,17,597.753205,395.592899,274.308394,0.248828,7.262649,726.549819,2095.061000,1991.126000,1.916000,102.018000
32,18,429.664922,314.737758,143.031968,0.249814,6.411026,608.032039,1915.874000,1845.735000,1.806000,68.333000
32,19,434.242313,275.196479,115.893028,0.252202,7.776717,601.575168,1883.741000,1826.361000,1.882000,55.497000
64,0,456.062261,370.381328,214.572414,4.942246,21.698167,638.512154,2092.980000,2018.660000,1.533000,72.787000
64,1,458.007022,309.555083,206.694236,0.302187,21.296587,582.467334,1811.824000,1768.956000,2.240000,40.628000
64,2,462.928793,336.041130,204.487881,0.250420,7.663341,602.396305,1994.787000,1941.907000,1.665000,51.214000
64,3,424.765723,297.308516,141.515724,0.309381,7.103812,587.972225,1950.148000,1869.579000,1.860000,78.709000
64,4,417.259780,330.846069,193.216915,0.249754,11.139658,566.279011,1862.267000,1774.212000,2.010000,86.045000
64,5,410.455238,336.966959,215.607867,0.250518,7.851443,539.916819,1831.301000,1759.613000,1.789000,69.899000
64,6,495.903097,335.385094,247.399143,0.251011,9.138374,593.278998,1936.790000,1838.377000,1.644000,96.769000
64,7,454.718423,339.206188,212.847665,0.254188,12.473880,593.805493,1926.181000,1820.187000,2.807000,103.187000
64,8,425.382869,298.622007,155.582362,0.252153,10.814928,579.490112,1877.323000,1799.743000,2.375000,75.204000
64,9,430.981969,302.338919,173.585621,0.247892,7.112794,567.096595,1863.760000,1791.358000,1.769000,70.633000
64,10,454.183463,308.752139,94.508224,0.275959,6.756593,675.460477,2167.539000,2102.813000,1.461000,63.265000
64,11,438.446698,316.038006,170.503510,0.250652,5.308480,589.540878,1910.216000,1877.468000,2.449000,30.298000
64,12,479.813102,293.902137,180.351630,0.250911,15.119328,608.734358,1898.940000,1796.438000,0.880000,101.623000
64,13,429.969540,291.283324,175.703690,0.248099,4.831518,550.629291,1770.662000,1697.084000,0.907000,72.672000
64,14,503.324312,337.798603,217.678005,0.251719,4.967376,628.664489,1927.918000,1883.048000,0.965000,43.905000
64,15,398.582953,298.970453,197.011533,0.251553,4.722502,505.516425,1678.859000,1611.051000,0.876000,66.931000
64,16,484.001605,353.811184,260.719551,0.248974,5.178445,582.521171,1879.295000,1794.332000,0.890000,84.073000
64,17,613.514155,376.930717,314.759106,0.250965,4.770052,680.707314,1979.483000,1901.504000,0.938000,77.041000
64,18,459.384033,317.345267,207.731272,0.248306,4.923699,574.170705,1791.662000,1726.332000,0.867000,64.462000
64,19,432.179088,316.946627,181.335801,0.248771,4.470759,572.510019,1844.539000,1758.104000,0.850000,85.585000
96,0,469.389532,371.920287,243.787216,2.375810,16.857471,616.756588,2059.126000,1988.806000,0.897000,69.424000
96,1,466.788017,332.644438,261.174493,0.250738,8.912710,547.421933,1789.875000,1725.916000,0.946000,63.012000
96,2,437.603089,326.821736,189.436286,0.250613,5.636694,580.876396,1929.231000,1860.487000,0.860000,67.884000
96,3,452.559764,328.328710,214.158715,0.251364,5.514343,572.495986,1913.935000,1831.481000,0.923000,81.530000
96,4,431.631984,360.039113,259.898034,0.251072,9.659775,541.684410,1810.468000,1758.733000,1.187000,50.548000
96,5,440.080333,361.118881,277.020105,0.251066,6.188194,530.618909,1773.688000,1691.972000,1.285000,80.431000
96,6,498.446688,321.943661,256.636666,0.250097,10.250662,574.254899,1833.955000,1791.799000,1.450000,40.707000
96,7,536.565795,354.193746,319.487859,0.251969,9.800081,581.324278,1874.998000,1796.315000,1.505000,77.177000
96,8,427.082994,316.561820,200.292848,0.265255,6.346146,549.963862,1801.663000,1752.286000,1.355000,48.022000
96,9,436.800830,320.224570,211.648293,0.252935,9.380786,555.011557,1828.002000,1782.561000,1.593000,43.848000
96,10,464.092545,326.154276,135.677186,0.252431,5.859857,660.682373,2121.469000,2062.273000,1.319000,57.877000
96,11,447.879618,327.407285,199.390961,0.254796,10.810448,586.961648,1912.291000,1866.410000,1.351000,44.531000
96,12,467.428286,312.209219,193.949092,0.249181,16.459666,602.397725,1915.154000,1845.900000,1.244000,68.010000
96,13,467.257664,346.420482,268.423310,0.257581,7.467275,552.980160,1827.797000,1738.786000,1.188000,87.823000
96,14,532.437022,373.424264,284.958069,0.249472,6.250208,627.403448,1960.106000,1926.099000,1.367000,32.640000
96,15,436.413328,335.676779,265.504506,0.250210,6.116231,512.952484,1750.980000,1643.025000,1.324000,106.631000
96,16,533.123834,368.665468,327.879071,0.251114,6.871868,581.033759,1908.301000,1821.081000,1.284000,85.935000
96,17,628.422601,481.063348,455.926473,0.252266,6.137300,659.949535,2061.493000,1951.262000,53.375000,56.856000
96,18,465.949751,349.290752,250.230762,0.250343,6.373113,571.633795,1894.521000,1783.433000,1.259000,109.829000
96,19,484.273025,342.740067,265.059933,0.257596,6.344654,568.555883,1816.394000,1778.159000,1.226000,37.009000
128,0,550.366707,452.357205,393.957467,2.548655,17.731550,629.047215,2172.485000,1990.332000,1.140000,181.013000
128,1,485.590255,378.521188,341.005480,0.258229,7.469570,530.834246,1776.708000,1716.856000,1.560000,58.293000
128,2,555.206918,363.309718,329.796890,0.252553,5.972078,594.944860,1934.443000,1851.677000,1.393000,81.373000
128,3,518.320425,348.731917,303.014889,0.252490,6.047480,570.337935,1896.841000,1807.172000,1.316000,88.353000
128,4,500.067928,411.176385,378.509605,0.251252,5.537557,538.523992,1788.518000,1747.806000,1.520000,39.192000
128,5,475.689700,369.592320,324.166282,0.251952,6.591636,527.959848,1771.771000,1688.629000,1.144000,81.997000
128,6,526.024223,346.173736,311.949177,0.251887,10.060644,570.561833,1843.533000,1790.881000,1.138000,51.514000
128,7,582.469690,432.366560,418.585567,0.252426,5.579832,602.083430,2072.988000,1796.394000,214.444000,62.151000
128,8,486.399806,344.916562,293.941777,0.251808,6.386536,544.013458,1834.652000,1747.319000,1.357000,85.976000
128,9,490.855369,396.685848,344.031803,0.251714,5.616122,549.377762,1841.734000,1761.827000,1.210000,78.697000
128,10,490.563963,360.960654,198.040857,0.251312,5.656076,659.391601,2124.116000,2053.595000,1.376000,69.145000
128,11,497.118304,383.149793,306.495047,0.250772,6.942337,580.966714,1969.699000,1851.478000,1.304000,116.917000
128,12,519.657642,347.680379,291.005834,0.255005,11.965220,588.552985,1906.686000,1832.990000,1.277000,72.419000
128,13,501.907063,360.384602,331.404950,0.252346,5.241516,536.381047,1810.741000,1736.679000,1.571000,72.491000
128,14,587.560710,416.393070,389.780701,0.255126,5.920717,620.349435,1992.814000,1929.246000,1.631000,61.937000
128,15,491.182648,360.449417,343.870013,0.251323,6.769424,514.783299,1789.619000,1632.164000,96.743000,60.712000
128,16,557.412472,395.481380,375.687259,0.265538,5.795850,583.268488,1952.774000,1849.115000,21.086000,82.573000
128,17,707.048675,588.508476,569.406332,0.252122,6.011425,732.414843,2716.495000,1982.882000,577.071000,156.542000
128,18,499.322970,374.234792,310.580879,0.251677,11.262445,574.491506,1954.349000,1779.347000,10.657000,164.345000
128,19,497.722631,387.068111,331.073959,0.275046,6.007493,559.999781,1842.366000,1765.915000,1.242000,75.209000
