id,input_len,output_len,arrival_time
0,91,10138,0.000000
1,231,26274,679.931904
2,114,15142,1699.529005
3,140,11781,1719.335668
4,134,7085,1721.604995
5,124,14514,2271.947867
6,83,30000,3901.888302
7,180,18656,4575.471255
8,80,19298,5330.772612
9,104,14468,8147.558592
10,200,15716,14205.311672
11,81,8032,17491.739930
12,123,11475,17493.027680
13,167,22197,19762.122345
14,92,30000,19834.620029
15,159,24602,20904.020332
16,101,11324,21752.953361
17,116,18739,24902.862014
18,137,7841,25256.872056
19,125,30000,25563.983196
20,132,4153,27056.202609
21,190,8303,27093.206808
22,185,30000,27228.537620
23,114,13336,28258.735726
24,78,21666,29033.283944
25,123,21115,30770.962454
26,116,7833,31184.632540
27,167,11454,31632.843304
28,131,20268,33484.935657
29,159,23481,35210.149267
30,83,30000,35533.608540
31,80,16027,35744.369961
32,111,30000,36967.663921
33,164,23331,37505.988124
34,115,5927,38360.673218
35,156,22172,39409.395428
36,221,30000,40641.566072
37,118,18955,43569.735385
38,120,19645,43723.424144
39,83,9546,45189.229059
40,80,10735,46313.466588
41,109,12057,48211.517007
42,303,11878,48810.508981
43,249,10605,49279.193645
44,101,6075,50096.300962
45,185,30000,50360.770240
46,123,8705,51106.592729
47,114,14320,51212.654785
48,155,22145,52859.602179
49,102,17019,55138.840346
50,167,21127,55690.942821
51,170,11181,58853.673773
52,177,18056,58961.376405
53,100,7307,59240.919196
54,92,17333,59538.167879
55,189,27356,60301.724816
56,129,18659,61237.470076
57,194,19964,61773.412887
58,178,17474,61897.966921
59,116,19012,63895.958277
60,87,26843,64393.422193
61,212,5237,64506.992108
62,154,9335,65278.228535
63,187,12224,65574.728178
64,181,12889,65990.650303
65,135,11430,66242.521179
66,388,22728,66757.687588
67,64,10216,67755.392247
68,263,30000,67852.217416
69,123,11022,69034.746847
70,198,30000,71914.849610
71,122,16890,72779.592990
72,83,9546,76477.120676
73,202,18471,76984.017842
74,461,18098,78269.865620
75,138,16923,80288.689748
76,133,30000,81134.681460
77,90,24786,81878.746222
78,123,27503,82479.468635
79,140,22279,82552.145831
80,101,4626,87004.729915
81,76,10561,88675.050151
82,156,10834,89196.982294
83,182,19176,90952.014683
84,84,10721,91966.925119
85,142,25039,91978.974485
86,124,7294,93349.298219
87,152,10260,94762.971356
88,126,11470,95268.117565
89,187,16179,95281.457626
90,70,21202,98014.060954
91,176,30000,100101.345066
92,57,12092,103905.878453
93,90,10771,103951.672918
94,139,10106,106841.671913
95,119,17905,109485.962134
96,133,10001,112671.359450
97,85,4580,114859.978175
98,109,12427,115205.971647
99,98,23309,117547.884956
100,63,12249,118064.231209
101,65,16242,118673.520998
102,157,12280,120111.168401
103,144,7468,120949.499698
104,108,30000,121813.970489
105,207,30000,121917.868477
106,82,11709,122628.856023
107,107,4514,126403.666419
108,468,30000,126493.415947
109,97,30000,128045.920795
110,209,18926,128061.794928
111,212,22029,129771.606399
112,85,18368,130385.269550
113,73,25055,131436.898386
114,124,30000,131591.602741
115,149,16537,132589.341594
116,66,10079,132787.499468
117,59,11737,133397.834072
118,267,15427,134286.909059
119,106,11540,134742.407438
120,142,8860,134927.572147
121,105,12472,135568.624912
122,115,12486,135873.859648
123,67,8026,135967.915886
124,92,7349,138475.562350
125,54,2175,140051.623644
126,119,17905,140838.135488
127,91,12125,142898.757613
128,64,21761,143389.103937
129,271,11243,143675.404218
130,134,8862,144107.319985
131,468,25460,146935.018349
132,176,26305,147373.173463
133,104,6119,149175.943839
134,159,22384,150292.984915
135,126,30000,150608.673810
136,133,12005,151166.500677
137,197,17931,151494.465308
138,217,20739,151784.307510
139,140,11832,153058.692561
140,102,7461,154719.834592
141,253,12504,154730.758869
142,167,21127,156960.816208
143,183,21157,157890.970271
144,144,14291,160104.533792
145,158,30000,160146.375934
146,106,15731,161525.984289
147,145,12964,161616.679749
148,135,8950,162543.043026
149,127,17567,164924.740805
150,98,30000,165930.196073
151,99,11854,169540.736197
152,104,8346,169814.483073
153,142,11566,173757.644717
154,121,7789,173920.137209
155,181,6665,176159.884290
156,151,17873,176867.050621
157,93,23127,177665.377332
158,180,19925,178356.990165
159,55,9485,178993.436667
160,195,18202,181830.247085
161,154,10625,183031.148321
162,108,9429,183549.007589
163,149,12199,183842.800993
164,94,7303,183940.445755
165,275,14262,186488.987926
166,103,11159,189108.021884
167,128,17621,189792.400058
168,113,11261,190754.000921
169,101,2269,192708.949539
170,94,7179,194473.794691
171,202,30000,195374.142965
172,164,15950,195759.711771
173,83,15913,196457.297029
174,299,19190,198902.483725
175,118,16246,200575.462280
176,105,7052,200771.762948
177,98,21534,201328.717435
178,550,7247,205406.856011
179,159,16509,205982.116569
180,92,30000,207230.510100
181,183,21157,207901.487206
182,533,30000,208502.547700
183,123,20428,208982.964039
184,128,13219,209600.269309
185,64,16916,211916.313770
186,85,7344,213038.330562
187,164,29783,213063.154842
188,109,9071,214204.565293
189,189,20545,215375.341320
190,160,18906,216274.480740
191,257,15557,217528.611779
192,150,7844,218245.928062
193,118,8478,219510.070858
194,130,13899,219950.200717
195,98,24410,220334.528466
196,221,30000,221843.710190
197,176,29412,223537.190760
198,108,7303,223753.797435
199,357,19126,224890.015088
200,103,11928,225837.574295
201,97,18543,226541.980772
202,168,30000,227736.597722
203,123,9449,228144.058566
204,183,23690,229092.538499
205,168,15711,229381.004525
206,148,25638,229446.245080
207,376,30000,230529.802606
208,92,30000,230844.017475
209,146,9970,231926.318270
210,137,21418,235357.789138
211,110,12247,237116.350446
212,177,6129,237281.408323
213,86,18621,237380.819536
214,118,8478,237547.940745
215,132,14965,239369.485269
216,103,12127,240778.922969
217,83,6346,241559.587917
218,186,30000,241702.667941
219,68,30000,241992.066057
220,102,13121,242199.987408
221,220,30000,242543.627795
222,178,23911,243049.843072
223,109,12057,243878.578103
224,183,21157,244483.596386
225,84,10721,244873.434716
226,122,16890,245675.164891
227,71,11168,246193.032666
228,70,3878,247213.234950
229,159,19791,247777.092195
230,69,10918,250074.521439
231,189,20835,250242.429600
232,64,24089,251803.258770
233,100,5827,256514.368364
234,118,9687,257312.232264
235,132,9646,259398.706435
236,134,12529,261254.504578
237,87,22696,264094.089933
238,169,13706,265995.732474
239,110,10977,266038.406598
240,116,26002,267763.643209
241,82,9948,268564.114158
242,90,12048,269261.718197
243,97,13172,271315.557246
244,148,12301,273387.453416
245,93,20534,273654.702601
246,261,12741,274181.816961
247,86,13112,276938.205946
248,165,13170,277912.085229
249,166,7161,278137.480473
250,145,11213,285065.945026
251,95,13566,285218.425587
252,162,22102,285675.807828
253,107,23627,286036.526664
254,113,12856,286811.253649
255,96,8739,287264.884979
256,79,11839,287847.204205
257,230,18709,287847.691553
258,102,18027,287949.898734
259,134,20162,291131.253943
260,168,15711,291339.747627
261,119,11724,293144.749893
262,108,26012,296703.774986
263,101,5404,297964.915784
264,167,21127,300494.079229
265,118,30000,301556.869200
266,78,9612,303015.584349
267,137,8705,305229.021204
268,137,15276,307110.017436
269,134,20162,308465.405050
270,237,10425,309946.522537
271,172,14378,311086.556281
272,163,5925,313745.618756
273,89,15090,314434.535973
274,214,11500,314633.435566
275,119,3463,315767.464207
276,490,19674,317950.635644
277,394,30000,318072.217402
278,231,26274,318745.760416
279,103,7251,319102.146290
280,109,8384,319772.601227
281,91,10051,320100.935467
