id,input_len,output_len,arrival_time
0,364,15,0.000000
1,20232,2615,1263.253921
2,7448,2184,1656.395770
3,441,607,3555.272049
4,17025,11,3662.104244
5,1919,3,4992.056920
6,45281,66,6355.441554
7,31799,3311,7108.251814
8,1133,3,8881.731122
9,82796,7159,14549.562209
10,88613,478,14992.691559
11,629,28,16523.948305
12,85646,7,16623.166785
13,24162,4355,16767.324482
14,11420,1237,16858.837018
15,1801,252,16922.621810
16,3625,177,17289.121799
17,472,26,18267.389513
18,24634,3,18560.903913
19,4881,321,19006.110740
20,409,9,21821.723677
21,394,4501,23076.384806
22,762,3,24240.877182
23,505,4403,24509.584974
24,64498,7534,24554.795792
25,17146,4052,25890.253686
26,35830,9,27023.899459
27,559,1542,28054.583755
28,2227,163,28275.037626
29,11635,9,28302.495929
30,2461,2162,29245.745360
31,29959,400,32482.477622
32,124539,78,32859.931398
33,9434,3,33810.787738
34,122879,8192,36240.118661
35,2386,92,37914.227787
36,576,2045,39008.424872
37,1219,606,41877.920219
38,22582,123,45968.821233
39,1901,905,58122.124339
40,1774,5826,58146.902549
41,131070,1,59050.215397
42,2074,446,59473.033923
43,18366,556,60460.669913
44,31748,167,62142.703693
45,96349,30,63724.135437
46,27483,9,64075.085427
47,6852,12,64246.559954
48,20834,1034,64996.124286
49,311,11,65065.777129
50,306,4255,68887.585455
51,8011,1701,69729.843128
52,121871,4022,69845.796375
53,921,222,72459.657111
54,1374,4181,72595.566735
55,43058,7,72885.204623
56,1707,370,73119.798546
57,1258,7,73134.082650
58,2069,6870,73524.039375
59,2614,3413,74618.413520
60,38537,7816,76120.521276
61,382,477,79294.870263
62,966,3,79526.970665
63,14046,370,81542.140252
64,308,248,84249.710720
65,96062,261,85556.155516
66,107539,59,85876.200683
67,4474,480,86406.752187
68,256,8192,86933.636016
69,5810,5,88058.620147
70,9088,1417,89531.006006
71,1422,62,91555.920861
72,7880,203,92101.878536
73,35613,299,93433.410822
74,2526,1557,93449.739481
75,8161,3,94826.804841
76,1346,41,95809.095546
77,596,11,96516.584182
78,921,94,97567.560023
79,59267,325,100160.986204
80,290,33,100642.756052
81,6634,28,101230.876879
82,29345,1897,101463.033027
83,530,292,101861.660306
84,10364,101,102539.171885
85,293,2673,105004.976473
86,30807,285,105152.956992
87,4511,9,105703.365712
88,2556,3,105967.971120
89,1608,1760,106440.400745
90,1395,29,106925.665090
91,256,1,108524.688227
92,9044,55,109046.480429
93,7205,15,109427.993820
94,33624,2957,109587.885265
95,4605,3,111284.316167
96,8790,3938,112661.506159
97,77587,20,112948.575975
98,8699,6274,114097.535786
99,2103,119,114912.471160
