request_id,session_id,round_idx,arrival_time_ms,prefix_len,input_len,output_len,tool_wait_after_ms
1150_round_000000,1150,0,0.000000,0,4211,151,54.000000
1150_round_000001,1150,1,0.000000,4224,252,147,61.000000
1150_round_000002,1150,2,0.000000,0,4739,89,55.000000
1150_round_000003,1150,3,0.000000,4480,410,1102,0.000000
2695_round_000000,2695,0,1488870.246698,0,4118,61,23.000000
2695_round_000001,2695,1,1488870.246698,3968,447,54,45.000000
2695_round_000002,2695,2,1488870.246698,3200,1742,52,19.000000
2695_round_000003,2695,3,1488870.246698,4864,305,52,56.000000
2695_round_000004,2695,4,1488870.246698,4736,849,53,35.000000
2695_round_000005,2695,5,1488870.246698,5504,499,54,43.000000
2695_round_000006,2695,6,1488870.246698,5888,217,53,47.000000
2695_round_000007,2695,7,1488870.246698,6016,371,129,0.000000
2698_round_000000,2698,0,1492216.400740,0,4131,34,21.000000
2698_round_000001,2698,1,1492216.400740,4096,180,53,12.000000
2698_round_000002,2698,2,1492216.400740,3200,2275,55,26.000000
2698_round_000003,2698,3,1492216.400740,3200,4279,53,0.000000
2699_round_000000,2699,0,1494175.393590,0,4131,34,21.000000
2699_round_000001,2699,1,1494175.393590,4096,180,53,18.000000
2699_round_000002,2699,2,1494175.393590,3200,2298,56,36.000000
2699_round_000003,2699,3,1494175.393590,5376,1836,54,0.000000
